region;type;ID;lonmin;lonmax;latmin;latmax
AC;current;sub1;22;23;-37;-36
AC;current;sub2;24;25;-36;-35
AC;current;sub3;26;27;-35;-34
AC;control;sub4;33;34;-35;-34
AC;control;sub5;34;35;-32;-31
AC;control;sub6;35;36;-35;-34
AC;event;sub7;15;16;-41;-40
AC;event;sub8;17;18;-42;-41
AC;event;sub9;20;21;-41;-40
BC;current;sub1;307;308;-37;-36
BC;current;sub2;309;310;-34;-33
BC;current;sub3;311;312;-31;-30
BC;control;sub4;315;316;-34;-33
BC;control;sub5;316;317;-36;-35
BC;control;sub6;319;320;-34;-33
BC;event;sub7;305;306;-39;-38
BC;event;sub8;306;307;-40;-39
BC;event;sub9;306;307;-41;-40
EAC;current;sub1;152;153;-34;-33
EAC;current;sub2;153;154;-31;-30
EAC;current;sub3;153;154;-32;-31
EAC;control;sub4;158;159;-32;-31
EAC;control;sub5;158;159;-34;-33
EAC;control;sub6;158;159;-36;-35
EAC;event;sub7;152;153;-36;-35
EAC;event;sub8;151;152;-37;-36
EAC;event;sub9;152;153;-38;-37
KC;current;sub1;134;135;32;33
KC;current;sub2;137;138;32;33
KC;current;sub3;141;142;35;36
KC;control;sub4;135;136;27;28
KC;control;sub5;140;141;29;30
KC;control;sub6;145;146;30;31
KC;event;sub7;144;145;37;38
KC;event;sub8;145;146;39;40
KC;event;sub9;146;147;40;41
GS;current;sub1;285;286;35;36
GS;current;sub2;287;288;36;37
GS;current;sub3;290;291;37;38
GS;control;sub4;288;289;31;32
GS;control;sub5;290;291;32;33
GS;control;sub6;293;294;32;33
GS;event;sub7;294;295;40;41
GS;event;sub8;296;297;41;42
GS;event;sub9;308;309;42;43